matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
7,0.01742054277840714,,7,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
8,0.009188306162838805,,8,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
9,0.004958400284728483,,9,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
10,0.002738344417355325,,10,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
11,0.001546537596054212,,11,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
12,0.0008918616186566821,,12,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
13,0.000524101409246039,,13,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
14,0.0003131391580436376,,14,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
15,0.0001897997239301369,,15,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
16,0.00011646436249385,,16,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
17,7.221591731311625e-05,,17,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
18,4.517775281499128e-05,,18,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
19,2.8475940959145112e-05,,19,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
20,1.806313080408002e-05,,20,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
